well_plate,r,nitrate_concentration,population,alpha
C09_11,1.4835008673197996,40,21,6.790993319829374e-5
C09_12,1.5603645763171206,40,30,0.0021915704723707206
C09_13,1.2009477907832506,60,6,0.004477883469626774
C09_14,1.630009372944263,60,21,1e-7
C09_15,1.9035296064176528,60,30,0.0036856552732988978
C09_16,1.9609773354421747,80,6,1e-7
C09_17,2.2949378048398765,80,21,1e-7
C09_18,1.8646999457401034,80,30,6.256717753951029e-5
C09_19,1.9039323284906295,100,6,1e-7
C09_2,1.5186091322741608,5,21,0.008091489100740572
C09_20,2.0071489850370803,100,21,1e-7
C09_21,1.667182098588543,100,30,1e-7
C09_22,1.8099748644532643,400,6,1e-7
C09_23,1.837071439097359,400,21,1e-7
C09_24,1.3811698636477048,400,5,1e-7
C09_25,1.4264736986243667,600,6,1e-7
C09_26,1.916496811975254,600,21,1e-7
C09_27,1.4403351022102524,600,30,1e-7
C09_28,1.5767139065856204,1000,6,1e-7
C09_29,1.8690457450487201,1000,21,1e-7
C09_3,1.3726125126012934,5,30,0.03518365534210544
C09_30,1.3652152711097731,1000,30,1e-7
C09_4,1.1676997758618772,10,6,0.021199713635462785
C09_5,1.2220020546094392,10,21,0.005689533816243952
C09_6,1.3563301049298184,10,30,0.0253846538182858
C09_7,1.263735668113071,20,6,0.010773733918994884
C09_8,1.3791387290344113,20,21,0.0025287034240832405
C09_9,1.50469016790024,20,30,0.012463631706771597
C10_1,1.4936260891414772,5,23,0.042943989624729305
C10_10,1.358196249875564,40,23,0.0053714948980888005
C10_11,1.591396958009602,40,anc2,0.0061327980718941695
C10_12,1.4918937414814315,40,3,0.00422802530834266
C10_13,1.63825903847439,60,23,0.0028702673048974624
C10_14,1.6065149200370747,60,anc2,0.004542795438064333
C10_15,1.4896059623165994,60,3,0.002331531601200954
C10_16,2.4147128121047117,80,23,4.4618047631123336e-4
C10_17,2.3051587681056356,80,anc2,2.388089782975594e-4
C10_18,1.9280843894095026,80,3,6.414935998018768e-4
C10_19,2.3427805769220877,100,23,1e-7
C10_2,0.9930168922548748,5,anc2,0.03526817652200404
C10_20,2.13055216342431,100,anc2,1e-7
C10_21,2.045853293446203,100,3,1e-7
C10_22,2.1155023369021384,400,23,1e-7
C10_23,1.6497719363046464,400,anc2,1e-7
C10_24,1.4646226732501435,400,3,1e-7
C10_25,1.5459261531997501,600,23,1e-7
C10_26,1.5670587317261773,600,anc2,1e-7
C10_27,1.6585543168465469,600,3,1e-7
C10_28,2.1768832730953975,1000,23,1e-7
C10_29,1.711628744328056,1000,anc2,1e-7
C10_3,1.6834933755788424,5,3,0.027277516862506908
C10_30,1.277290290818952,1000,3,1e-7
C10_4,1.803761785567893,10,23,0.02369191939158345
C10_5,1.216276247730564,10,anc2,0.01858917153646592
C10_6,1.6052979904255376,10,3,0.02188524281951332
C10_7,1.5929683689609229,20,23,0.01337952560596686
C10_8,1.3781475812477897,20,anc2,0.01514803848809595
C10_9,2.041065945891,20,3,0.011456037631529085
C11_1,1.0187461421438102,5,anc5,0.035838135415694146
C11_10,1.3004807189515544,40,anc5,0.005175061077792555
C11_11,1.7495471577194688,40,17,0.0019422208043380579
C11_12,1.8002642733819962,40,15,0.0067344097527064755
C11_13,1.54811291264855,60,anc5,0.0025946893119608897
C11_14,1.9866429911243453,60,17,1e-7
C11_15,1.5953134636182789,60,15,0.0030875148907977103
C11_16,2.197989352789471,80,anc5,0.0015008106463807677
C11_17,1.7031492654666052,80,17,1e-7
C11_18,2.1468732076800663,80,15,0.0014347764037562234
C11_19,2.380311195186182,100,11,1e-7
C11_2,1.4629946888677174,5,17,0.020197369464418552
C11_20,2.0509429423282772,100,17,1e-7
C11_21,1.9480291779169376,100,15,1e-7
C11_22,1.9801332021960107,400,anc5,1e-7
C11_23,1.9082905864060544,400,17,1e-7
C11_24,1.6424166283971975,400,15,1e-7
C11_25,1.6477039086912606,600,anc5,1e-7
C11_26,1.7274397424866965,600,17,1e-7
C11_27,1.452658920475304,600,15,1e-7
C11_28,1.6970343429335089,1000,anc5,1e-7
C11_29,1.6055127117283658,1000,17,1e-7
C11_3,0.4602388967256034,5,15,0.03081452348015493
C11_30,1.3955582792569723,1000,15,1e-7
C11_4,1.1698365167015745,10,anc5,0.021299820179891484
C11_5,1.197904770015662,10,17,0.01224802089087035
C11_6,1.1969437681426507,10,15,0.03783100977628365
C11_7,0.9157400037498689,20,anc5,0.012718982303170572
C11_8,1.64109720622614,20,17,0.003177203362758292
C11_9,2.020240945160691,20,15,0.009750276280755683
D02_1,0.5793107851148612,5,24,0.0520140335518094
D02_10,0.7192371098002284,40,24,0.01286999106365824
D02_11,1.6115832257029432,40,18,0.005873936659155073
D02_12,1.4306621518085592,40,29,0.0019113419823094913
D02_13,0.9563993178790905,60,24,0.00936708068002084
D02_14,1.542886834164617,60,18,0.004943578196747723
D02_15,1.7837692304943067,60,29,0.001890490888845493
D02_16,1.9102553002347173,80,24,2.92026653378748e-4
D02_17,1.9221166200353437,80,18,4.81279835448922e-4
D02_18,1.9728235903764582,80,29,1e-7
D02_19,2.0967318052999526,100,24,1.2955525316438085e-4
D02_2,1.230781068969996,5,18,0.03897647648017061
D02_20,1.6546228070907878,100,18,1e-7
D02_21,1.7617078191275577,100,29,1e-7
D02_22,1.6264523422672552,400,24,1e-7
D02_23,1.6725274794607097,400,18,1e-7
D02_24,1.9371667980264524,400,29,1e-7
D02_25,1.9228951264584055,600,24,1e-7
D02_26,2.0101382587355165,600,18,1e-7
D02_27,1.6186105134357753,600,29,1e-7
D02_28,1.411050094418248,1000,24,1e-7
D02_29,1.9480386757312673,1000,18,1e-7
D02_3,1.637781845654773,5,29,0.03121549543368134
D02_30,1.6033758024076958,1000,29,1e-7
D02_4,0.8020477221373086,10,24,0.03461795293994137
D02_5,1.370475861760491,10,18,0.023348389182528545
D02_6,1.6638060689022318,10,29,0.013063311204760389
D02_7,0.7635823456200905,20,24,0.02366931901301475
D02_8,1.296512136969361,20,18,0.0168902212971848
D02_9,1.9280951798569201,20,29,0.006885240012488819
D03_1,1.430294832397463,5,8,0.005162641047146558
D03_10,1.1963984050855434,40,8,1e-7
D03_11,1.4907346928370004,40,22,0.00524638756939232
D03_12,1.2664699370871908,40,20,0.0095981173122882
D03_13,1.230917222739925,60,8,1e-7
D03_14,1.633857907569534,60,22,0.0046985637500130874
D03_15,1.4907219593652443,60,20,0.004010011555903733
D03_16,1.7947800725692518,80,8,1e-7
D03_17,1.8868887440949855,80,22,4.351563247047728e-4
D03_18,1.545674479929026,80,20,7.336077757948188e-4
D03_19,1.8495944379903941,100,8,1e-7
D03_2,1.439684016128299,5,22,0.05282892710739333
D03_20,1.8171994896221597,100,22,1e-7
D03_21,2.404428904581299,100,20,1e-7
D03_22,1.9162406365729023,400,8,1e-7
D03_23,2.1257879670827906,400,22,1e-7
D03_24,1.6574758961864429,400,20,1e-7
D03_25,1.9513154331161457,600,8,1e-7
D03_26,1.9511902567172987,600,22,1e-7
D03_27,1.4902983370303182,600,20,1e-7
D03_28,1.7655275679337634,1000,8,1e-7
D03_29,1.9335612056796228,1000,22,1e-7
D03_3,1.2130127205494445,5,20,0.03868374914793092
D03_30,1.9006051047075776,1000,20,1e-7
D03_4,1.3615930062797512,10,8,0.0033759502842943103
D03_5,1.0799577488418495,10,22,0.0276091057576887
D03_6,1.151332183483538,10,20,0.029061690728303655
D03_7,1.362138170319972,20,8,0.002168109247767657
D03_8,1.2253408069999425,20,22,0.020609146740369705
D03_9,1.1213393917323777,20,20,0.02005974833126963
D04_1,1.026403649353583,5,19,0.03580450428571799
D04_10,1.262327526307889,40,19,0.006330193606806723
D04_11,1.1977084524798784,40,4,0.006076242591246204
D04_12,1.2132862407308247,40,anc4,0.009015221949181897
D04_13,1.5273948456249031,60,19,0.004883772522691395
D04_14,1.7131699868432184,60,4,0.0049560393955604635
D04_15,1.5313148776089507,60,anc4,0.0036235956569292123
D04_16,1.6752314359681488,80,19,0.001091661811613074
D04_17,2.017667150071096,80,4,1e-7
D04_18,1.617035349138011,80,anc4,0.0011630899924845396
D04_19,1.6703021063280015,100,19,1e-7
D04_2,0.68654454579791,5,4,0.03373345165010493
D04_20,1.6620743588527376,100,4,1e-7
D04_21,1.7039982213811922,100,anc4,5.5097759613660667e-5
D04_22,1.245287805866935,400,19,1e-7
D04_23,2.083334482481179,400,4,1e-7
D04_24,1.7775061856731975,400,anc4,1e-7
D04_25,1.2509920530055907,600,19,1e-7
D04_26,2.3412634177450875,600,4,1e-7
D04_27,1.322100326009726,600,anc4,1e-7
D04_28,1.2959670967989279,1000,19,1e-7
D04_29,1.6855462304004634,1000,4,1e-7
D04_3,0.8820871216054734,5,anc4,0.043420405754210495
D04_30,1.4416080903016113,1000,anc4,1e-7
D04_4,1.407958824200271,10,19,0.02540682580883186
D04_5,1.072702477780851,10,4,0.02629287674510181
D04_6,1.4650591530153443,10,anc4,0.027750260068060164
D04_7,0.9803662817214839,20,19,0.012776549541506541
D04_8,1.194468714708626,20,4,0.01889731119022169
D04_9,1.2691067640293927,20,anc4,0.019810370222261415
D05_1,1.9530056764584727,5,33,0.038470705208396676
D05_10,1.4283969866658635,40,33,0.005480585023477135
D05_11,1.482803975708313,40,9,0.0070130249762217454
D05_12,1.2771556895840854,40,10,0.006355182272954736
D05_13,1.2475101476927866,60,33,0.0044410366997802795
D05_14,1.3620384128347134,60,9,0.0035504451954415078
D05_15,1.4193305367496423,60,10,0.0032053858415666075
D05_16,1.7796191715331604,80,33,6.211527267092735e-4
D05_17,1.9912894700705863,80,9,2.0291688294698056e-4
D05_18,1.4427688776728596,80,10,6.551134867952479e-4
D05_19,1.8805307056435216,100,33,1e-7
D05_2,1.6203780418887783,5,9,0.04075395535808527
D05_20,2.06353517193939,100,9,1e-7
D05_21,1.6530779879984194,100,10,1e-7
D05_22,1.6761045140894806,400,33,1e-7
D05_23,1.893432635096472,400,9,1e-7
D05_24,1.6448908947920584,400,10,1e-7
D05_25,1.1398302945362329,600,33,1e-7
D05_26,1.983988644522675,600,9,1e-7
D05_27,1.5430777971349405,600,10,1e-7
D05_28,1.2770709633393842,1000,33,1e-7
D05_29,1.7059887751144969,1000,9,1e-7
D05_3,1.4308689294593577,5,10,0.03744717885563738
D05_30,1.2291405088460685,1000,10,1e-7
D05_4,1.3513996112424271,10,33,0.02544683663730567
D05_5,1.1074608693381753,10,9,0.03564421223291147
D05_6,1.9753170224611718,10,10,0.027326682896750595
D05_7,1.3401564548572262,20,33,0.012122197992778794
D05_8,1.2971893470004394,20,9,0.022123415018431923
D05_9,1.0587703834380755,20,10,0.01827864316829111
D06_1,1.0593268656924282,5,14,0.0314812128721268
D06_10,1.1395381085481286,40,14,0.004893159307723712
D06_11,1.44425833487103,40,31,0.0036996319458450187
D06_12,0.7728863171169774,40,5,0.009784871734601092
D06_13,1.3736132615932688,60,14,0.0028760064351053484
D06_14,1.2607975185279532,60,31,0.0031306741526706265
D06_15,0.9711665811688273,60,5,0.005227009008578145
D06_16,1.6895770441419142,80,14,8.710796543507243e-4
D06_17,1.7943796336541538,80,31,1e-7
D06_18,1.6718499912134515,80,5,0.001352204442189854
D06_19,1.7611925297875948,100,14,1e-7
D06_2,1.1946878995080124,5,31,0.029701663588203264
D06_20,1.5498816633231405,100,31,1e-7
D06_21,1.519566835015966,100,5,2.7016618677352006e-4
D06_22,1.8593782399334775,400,14,1e-7
D06_23,1.8954441451879314,400,31,1e-7
D06_24,1.2859631265878146,400,30,1e-7
D06_25,1.1918271202698354,600,14,1e-7
D06_26,1.3613291286396165,600,31,1e-7
D06_27,1.936673474249096,600,5,1e-7
D06_28,1.463552780650069,1000,14,1e-7
D06_29,1.4717802724215752,1000,31,1e-7
D06_3,0.5718935763179878,5,5,0.05430115054339883
D06_30,1.1725955283740224,1000,5,1e-7
D06_4,1.1122834606795737,10,14,0.022044634275046267
D06_5,1.386029353360563,10,31,0.025703681309586814
D06_6,0.5592838956649901,10,5,0.031789028861693526
D06_7,1.3526889047408521,20,14,0.010626158153165347
D06_8,1.2722227645527786,20,31,0.015208960191630976
D06_9,0.9333951543125973,20,5,0.016436972162467756
D07_1,1.228219157366314,5,32,0.03680538193672055
D07_10,1.2951811606531989,40,32,0.004642635310664577
D07_11,1.3740762954916232,40,35,0.004609382816173421
D07_12,1.3315891980814694,40,anc3,0.007787784333056022
D07_13,1.3057761927699494,60,32,0.0021332993242648445
D07_14,1.405442263613469,60,35,3.484102821421937e-4
D07_15,1.3858572836311842,60,anc3,0.0041103472442909515
D07_16,1.7305157638098334,80,32,9.243652581511717e-4
D07_17,1.567092537551509,80,35,1e-7
D07_18,1.3971159670932973,80,anc3,6.634969779990961e-4
D07_19,2.125446197159173,100,32,1e-7
D07_2,1.2543735264418627,5,35,0.032399688739572656
D07_20,1.7840325760243978,100,35,1e-7
D07_21,1.5716707883997674,100,anc3,8.388978848909794e-5
D07_22,1.7773767651528167,400,32,1e-7
D07_23,1.8123357371317823,400,35,1e-7
D07_24,1.4506545900413967,400,anc3,1e-7
D07_25,1.3766073271683603,600,32,1e-7
D07_26,1.531399034890224,600,35,1e-7
D07_27,1.2416985253091322,600,anc3,1e-7
D07_28,1.452811134322669,1000,32,1e-7
D07_29,1.9162834655200442,1000,35,1e-7
D07_3,1.2459901938202316,5,anc3,0.03318686141532847
D07_30,1.2408133928879415,1000,anc3,1e-7
D07_4,1.48106478315398,10,32,0.022130355443152
D07_5,1.3445517587288778,10,35,0.02104455763752436
D07_6,1.9410798148579669,10,anc3,0.027499225898277968
D07_7,1.7434125179979347,20,32,0.009790446082429781
D07_8,1.4405813647367798,20,35,0.007732367228608786
D07_9,1.4199494706510953,20,anc3,0.013823873216020712
D08_1,0.5325594462386032,5,32,0.04303794553207973
D08_10,1.329831226969382,40,32,0.004245704048555363
D08_11,1.4033004954872283,40,35,0.0035414187666005974
D08_12,1.1259536062104123,40,20,0.007639586720936327
D08_13,1.3759345834015895,60,32,0.002266308226707092
D08_14,1.5708337661834428,60,35,2.9693315064092973e-4
D08_15,1.3991193518693403,60,20,0.003167485584284111
D08_16,1.7721077357101764,80,32,8.490024913866616e-4
D08_17,1.775476180350645,80,35,1e-7
D08_18,1.4141288312211566,80,20,5.454378167689313e-4
D08_19,1.8568074049234404,100,32,1e-7
D08_2,1.270775971938888,5,35,0.03226561426096332
D08_20,1.8340712207398224,100,35,1e-7
D08_21,2.2568051693267788,100,20,1e-7
D08_22,2.133477440034062,400,32,1e-7
D08_23,1.7032189499232697,400,35,1e-7
D08_24,1.131984258395331,400,20,1e-7
D08_25,1.288279890515369,600,32,1e-7
D08_26,1.4681024501049966,600,35,1e-7
D08_27,1.5803355846827403,600,20,1e-7
D08_28,1.5214059032158527,1000,32,1e-7
D08_29,1.7483834469857855,1000,35,1e-7
D08_3,0.9923575478848337,5,20,0.037414086513896244
D08_30,1.3925869270673468,1000,20,1e-7
D08_4,1.2675365723275893,10,32,0.020618819158829262
D08_5,1.4785706166593873,10,35,0.020545344482846273
D08_6,1.3496265673250427,10,20,0.02544850336318653
D08_7,1.3155968536048677,20,32,0.010444220671894622
D08_8,1.1282249378277875,20,35,0.0031081949256948705
D08_9,1.2151247168859598,20,20,0.01891559195234618
D09_1,1.0286841354178953,5,14,0.03739272699100902
D09_10,1.411834946005097,40,14,0.004474867794798598
D09_11,1.1903217333437066,40,31,0.005564077148720606
D09_12,1.6343714457066487,40,3,0.004194089736840872
D09_13,1.5136670447437262,60,14,0.0023639004608629905
D09_14,1.4380342506481347,60,31,0.005479644142206793
D09_15,1.3959729030045978,60,3,0.0024570611465732474
D09_16,1.7739354579558444,80,14,8.198664277459205e-4
D09_17,2.3349136143594906,80,31,1e-7
D09_18,1.5682889598125498,80,3,3.0913808134467306e-4
D09_19,1.874592617233748,100,14,1e-7
D09_2,1.354391114729893,5,31,0.02826670766916676
D09_20,1.864947534035109,100,31,1e-7
D09_21,1.7315072277853838,100,3,1e-7
D09_22,1.9448363869036989,400,14,1e-7
D09_23,2.007530864957459,400,31,1e-7
D09_24,1.3332692243786552,400,3,1e-7
D09_25,1.1838059157629477,600,14,1e-7
D09_26,1.376017353807612,600,31,1e-7
D09_27,1.2522177686818865,600,3,1e-7
D09_28,1.423308155331297,1000,14,1e-7
D09_29,1.6625471917773087,1000,31,1e-7
D09_3,1.3586195026176737,5,3,0.03182858594645468
D09_30,1.3246383195257811,1000,3,1e-7
D09_4,1.166679819815969,10,14,0.020647849652242912
D09_5,1.3408747611905705,10,31,0.02228566104336431
D09_6,1.6937134813491193,10,3,0.020451170033879737
D09_7,1.2114815910647783,20,14,0.011216669617751704
D09_8,1.1741880054914746,20,31,0.015207788309441446
D09_9,1.7071864135471755,20,3,0.013194916907519777
D10_1,1.0339986173948028,5,19,0.03774626721127956
D10_10,1.1736487209719697,40,19,0.006885377715077705
D10_11,1.1854369562942237,40,4,0.006552448355060033
D10_12,1.4030657302965637,40,7,0.004818184689206034
D10_13,2.1216160795393217,60,19,0.0032166332933910927
D10_14,1.5130155783624966,60,4,0.005552919187595137
D10_15,1.1261733677082313,60,7,0.005346158622906399
D10_16,1.7194129685708317,80,19,0.0011727547597098565
D10_17,2.4695960274681594,80,4,7.30161361437463e-4
D10_18,1.7318342942048122,80,7,9.88951913315937e-4
D10_19,1.8884662701568082,100,19,1e-7
D10_2,0.5721290203026066,5,4,0.03257641246865978
D10_20,1.8424899725130353,100,4,1e-7
D10_21,1.8415874921207527,100,7,3.834309169915626e-5
D10_22,1.5203516253617009,400,19,1e-7
D10_23,1.9511616558233111,400,4,1e-7
D10_24,1.211395994981836,400,7,1e-7
D10_25,1.4207485836793656,600,19,1e-7
D10_26,1.6415648070631674,600,4,1e-7
D10_27,1.5988980594923974,600,7,1e-7
D10_28,1.2890319874904275,1000,19,1e-7
D10_29,1.469637471784313,1000,4,1e-7
D10_3,0.7579589310588497,5,7,0.03077649789719252
D10_30,1.253154902512826,1000,7,1e-7
D10_4,0.9106427678329188,10,19,0.024011102840060607
D10_5,0.7339620474091927,10,4,0.02440308977945714
D10_6,1.165309158800205,10,7,0.021484135532421542
D10_7,1.138341515311036,20,19,0.01055217454866661
D10_8,1.363270782185937,20,4,0.013464964036242193
D10_9,1.3925537534775776,20,7,0.011980328052632295
D11_1,1.5548519579976259,5,11,0.04258434768677551
D11_10,1.612181434386162,40,11,0.004946631056255066
D11_11,0.7962876959058088,40,27,0.011130033754299986
D11_12,1.2702361039631345,40,10,0.0066757775007000525
D11_13,1.6828047582553158,60,11,0.0028448941412212757
D11_14,1.0709320189690963,60,27,0.008031237742949136
D11_15,1.5652423065468024,60,10,0.003324561987637267
D11_16,2.3344975602592086,80,11,1e-7
D11_17,2.3975331272088987,80,27,2.0083002166394723e-4
D11_18,2.4035958546678313,80,10,2.0381785902469167e-4
D11_19,1.7936372137656087,100,anc5,1e-7
D11_2,1.1116855979304912,5,27,0.04220510927416303
D11_20,1.5064575805604468,100,27,1e-7
D11_21,2.346891631837162,100,10,1e-7
D11_22,2.121062620756665,400,11,1e-7
D11_23,2.216777941984091,400,27,1e-7
D11_24,1.3283325451398094,400,10,1e-7
D11_25,1.491693622339368,600,11,1e-7
D11_26,1.3806322554400972,600,27,1e-7
D11_27,1.578276935940781,600,10,1e-7
D11_28,1.5941517340787175,1000,11,1e-7
D11_29,1.7501618596448203,1000,27,1e-7
D11_3,0.7173425516068609,5,10,0.03526841895387925
D11_30,1.2889277878368608,1000,10,1e-7
D11_4,1.3362927285916488,10,11,0.02461569036307739
D11_5,0.6243135570184565,10,27,0.07252924753456741
D11_6,1.2189837775756127,10,10,0.024893523859480782
D11_7,1.837348578744389,20,11,0.0128681725116861
D11_8,0.945855694153975,20,27,0.018435339287032667
D11_9,1.1742915241006902,20,10,0.020253627250358733
E02_1,1.114687174286185,5,1,0.025482209244384543
E02_10,1.4252709194441067,40,1,0.003872229627742968
E02_11,1.1558946208543421,40,26,0.005592852059630999
E02_12,1.1716672094744993,40,anc4,0.008939381667952722
E02_13,1.4882530339621503,60,1,0.0028105146841827986
E02_14,1.4855461297089692,60,26,0.0052789104410425084
E02_15,1.4893186998906378,60,anc4,0.003970380743711582
E02_16,1.9706619972798405,80,1,1e-7
E02_17,2.1258550035475423,80,26,1e-7
E02_18,1.585190093987286,80,anc4,0.00130480226800707
E02_19,1.5691289699965474,100,1,1e-7
E02_2,1.2470527628380084,5,26,0.03486631294900931
E02_20,1.8664508892732152,100,26,1e-7
E02_21,2.1943932970048596,100,anc4,1.0257668940734019e-4
E02_22,1.4264480938272386,400,1,1e-7
E02_23,2.0458968213610262,400,26,1e-7
E02_24,1.8644962659710866,400,anc4,1e-7
E02_25,1.6963117941672234,600,1,1e-7
E02_26,2.09800427060752,600,26,1e-7
E02_27,2.1831141071738074,600,anc4,1e-7
E02_28,1.307529966259938,1000,1,1e-7
E02_29,1.8214837274591793,1000,26,1e-7
E02_3,1.4081574733860234,5,anc4,0.040842764892016006
E02_30,2.064391804322828,1000,anc4,1e-7
E02_4,1.1041162479717161,10,1,0.021529541561094007
E02_5,1.191623939330782,10,26,0.023567326081232326
E02_6,1.767402923829009,10,anc4,0.03269582925986713
E02_7,1.2416047962179022,20,1,0.01166771546958671
E02_8,1.5821191792186886,20,26,0.01632548545714227
E02_9,1.28044965218417,20,anc4,0.016635574381713973
E03_1,1.1010563443467247,5,25,0.02479003797355008
E03_10,1.407179655285884,40,25,0.003818029405876233
E03_11,1.4766280216399008,40,28,0.0038455563367335564
E03_12,1.250986119077611,40,30,0.002477200967216265
E03_13,1.419290644695958,60,25,0.0019092475738481
E03_14,1.5586832404961122,60,28,0.003110421369464076
E03_15,1.841733614684721,60,30,0.002728461126017562
E03_16,2.1181516868832224,80,25,1e-7
E03_17,2.380811826730438,80,28,5.891873810031888e-4
E03_18,1.9750139694026672,80,30,0.0022555058290352134
E03_19,1.759586952284905,100,25,1e-7
E03_2,0.8363272877162287,5,28,0.023674576071542174
E03_20,1.6762576679848036,100,28,1e-7
E03_21,2.1119460078273504,100,30,1e-7
E03_22,1.6303669965579284,400,25,1e-7
E03_23,1.97860237620939,400,28,1e-7
E03_24,1.8914127084110366,400,5,1e-7
E03_25,1.6942932988095485,600,25,1e-7
E03_26,1.869927529046432,600,28,1e-7
E03_27,1.3070033944201802,600,30,1e-7
E03_28,1.3292220581549414,1000,25,1e-7
E03_29,1.8276445239602606,1000,28,1e-7
E03_3,1.7835748690134088,5,30,0.042591597460044615
E03_30,1.218367972694847,1000,30,1e-7
E03_4,1.558649966771749,10,25,0.01862174217416786
E03_5,1.7146874875722988,10,28,0.026182865401412944
E03_6,1.7183807441373518,10,30,0.016235689964053567
E03_7,1.5329245553353776,20,25,0.010909028885035782
E03_8,0.9316610115983818,20,28,0.00503271615852917
E03_9,1.2934726308052138,20,30,0.008446320284809907
E04_11,1.5246894091573748,40,2,0.006353167614819233
E04_12,1.3627022131725843,40,16,0.008761801727794536
E04_14,2.0003495482722995,60,2,0.004773223828779095
E04_15,1.5059955453314857,60,16,0.002972161980786446
E04_17,2.0501905366430266,80,2,1e-7
E04_18,1.491717325682718,80,16,6.600420303272985e-4
E04_2,0.694932243002975,5,2,0.03744676602652304
E04_20,1.9689862771364148,100,2,1e-7
E04_21,2.3734334139656568,100,16,1e-7
E04_23,2.3276451386205377,400,2,1e-7
E04_24,1.7506135711876454,400,16,1e-7
E04_26,2.356602915610062,600,2,1e-7
E04_27,1.607646905399478,600,16,1e-7
E04_29,1.865995618812518,1000,2,1e-7
E04_3,1.0830334221273366,5,16,0.041097008347093025
E04_30,1.6787696334164153,1000,16,1e-7
E04_5,1.0754884510750577,10,2,0.029471387034720062
E04_6,1.9002908589342213,10,16,0.025799599272845312
E04_8,1.180605846600874,20,2,0.021141460147048242
E04_9,1.4169197833176224,20,16,0.02004684053644543
E05_1,1.3334833938015642,5,23,0.039985146334680845
E05_10,1.4999977455150053,40,23,0.004608930791424227
E05_11,1.764492876909835,40,anc2,0.005248285305503171
E05_12,1.5939691543447543,40,cc1690,0.007161370530138025
E05_13,1.513703427124211,60,23,0.0028004752684935015
E05_14,1.414518468022953,60,anc2,0.0030797217342183165
E05_15,1.6383859236553968,60,cc1690,0.0028116262159705863
E05_16,2.205693944942063,80,23,1e-7
E05_17,2.1418108594799277,80,anc2,9.915657965368014e-5
E05_18,1.5323800740473768,80,cc1690,4.280233572162455e-4
E05_19,1.9012080215837481,100,23,1e-7
E05_2,1.256064165469596,5,anc2,0.03588167725882864
E05_20,2.232070018005531,100,anc2,1e-7
E05_21,2.1272324861444845,100,cc1690,1e-7
E05_22,1.3532145175520027,400,23,1e-7
E05_23,1.5903645406780333,400,anc2,1e-7
E05_24,1.5781848960013038,400,cc1690,1e-7
E05_25,1.3731834269324323,600,23,1e-7
E05_26,1.654454741229658,600,anc2,1e-7
E05_27,1.399568444756163,600,cc1690,1e-7
E05_28,1.5862159897087338,1000,23,1e-7
E05_29,1.7775234400884807,1000,anc2,1e-7
E05_3,1.1332133154439747,5,cc1690,0.03775309970244507
E05_30,1.5252506565811585,1000,cc1690,1e-7
E05_4,1.481617784882491,10,23,0.024951146490298268
E05_5,1.1403734207877818,10,anc2,0.020805010772541134
